match_url,match_format,combat_type,name,leader,units,unit_count,banners,attempt,outcome,zone,date
https://swgoh.gg/p/955978779/gac-history/O1782248400000/2/,5v5,characters,Rey,GLREY,"['GLREY', 'AMILYNHOLDO', 'RESISTANCETROOPER', 'ZORIIBLISS_V2', 'BENSOLO']",5,59,1,Win,,"Jun 27, 26 2:23:17 PM"
https://swgoh.gg/p/955978779/gac-history/O1782248400000/2/,5v5,ships,Executor,CAPITALEXECUTOR,"['CAPITALEXECUTOR', 'RAZORCREST', 'HOUNDSTOOTH', 'PUNISHINGONE', 'SLAVE1', 'IG2000', 'XANADUBLOOD']",7,1,1,Loss,,"Jun 27, 26 2:28:01 PM"
https://swgoh.gg/p/955978779/gac-history/O1782248400000/2/,5v5,ships,Chimaera,CAPITALCHIMAERA,"['CAPITALCHIMAERA', 'TIEADVANCED', 'EMPERORSSHUTTLE', 'TIEBOMBERIMPERIAL', 'SCYTHE', 'TIEINTERCEPTOR', 'TIEDEFENDER', 'TIEREAPER']",8,57,1,Win,,"Jun 27, 26 2:33:06 PM"
https://swgoh.gg/p/955978779/gac-history/O1782248400000/2/,5v5,characters,Bossk,BOSSK,"['BOSSK', 'DENGAR', 'AURRA_SING', 'IG88', 'GREEDO']",5,65,1,Win,,"Jun 27, 26 2:44:25 PM"
https://swgoh.gg/p/955978779/gac-history/O1782248400000/2/,5v5,characters,Jedi Master Mace Windu,JEDIMASTERMACEWINDU,"['JEDIMASTERMACEWINDU', 'DEPABILLABA', 'VANGUARDTEMPLEGUARD', 'LUMINARAUNDULI', 'JOCASTANU']",5,62,1,Win,,"Jun 27, 26 3:00:17 PM"
https://swgoh.gg/p/955978779/gac-history/O1782248400000/3/,5v5,characters,Bossk,BOSSK,"['BOSSK', 'DENGAR', 'AURRA_SING', 'IG88', 'GREEDO']",5,65,1,Win,,"Jun 29, 26 8:00:28 PM"
https://swgoh.gg/p/955978779/gac-history/O1782248400000/3/,5v5,characters,Jedi Master Kenobi,JEDIMASTERKENOBI,"['JEDIMASTERKENOBI', 'PADMEAMIDALA', 'GENERALKENOBI', 'COMMANDERAHSOKA', 'AHSOKATANO']",5,0,1,Retreat,,"Jun 29, 26 8:18:50 PM"
https://swgoh.gg/p/955978779/gac-history/O1781643600000/2/,5v5,characters,Bossk,BOSSK,"['BOSSK', 'DENGAR', 'AURRA_SING', 'IG88', 'GREEDO']",5,65,1,Win,,"Jun 20, 26 4:45:59 AM"
https://swgoh.gg/p/955978779/gac-history/O1781643600000/2/,5v5,characters,Jedi Master Mace Windu,JEDIMASTERMACEWINDU,"['JEDIMASTERMACEWINDU', 'DEPABILLABA', 'VANGUARDTEMPLEGUARD', 'LUMINARAUNDULI', 'JOCASTANU']",5,64,1,Win,,"Jun 20, 26 4:49:40 AM"
https://swgoh.gg/p/955978779/gac-history/O1781643600000/2/,5v5,characters,Jedi Master Kenobi,JEDIMASTERKENOBI,"['JEDIMASTERKENOBI', 'PADMEAMIDALA', 'GENERALKENOBI', 'COMMANDERAHSOKA', 'AHSOKATANO']",5,63,1,Win,,"Jun 20, 26 4:53:16 AM"
https://swgoh.gg/p/955978779/gac-history/O1781643600000/2/,5v5,characters,Rey,GLREY,"['GLREY', 'AMILYNHOLDO', 'RESISTANCETROOPER', 'EZRAEXILE', 'BENSOLO']",5,3,1,Loss,,"Jun 20, 26 4:57:15 AM"
https://swgoh.gg/p/955978779/gac-history/O1781643600000/2/,5v5,characters,Third Sister,THIRDSISTER,"['THIRDSISTER', 'GRANDINQUISITOR', 'MARROK', 'SEVENTHSISTER', 'FIFTHBROTHER']",5,0,1,Retreat,,"Jun 20, 26 5:02:50 AM"
https://swgoh.gg/p/955978779/gac-history/O1781643600000/2/,5v5,characters,General Skywalker,GENERALSKYWALKER,"['GENERALSKYWALKER', 'CT5555', 'CT7567', 'CT210408', 'ARCTROOPER501ST']",5,68,1,Win,,"Jun 20, 26 5:04:52 AM"
https://swgoh.gg/p/955978779/gac-history/O1781643600000/2/,5v5,characters,Bastila Shan,BASTILASHAN,"['BASTILASHAN', 'GRANDMASTERLUKE', 'JEDIKNIGHTLUKE', 'JEDIKNIGHTCAL', 'HERMITYODA']",5,65,1,Win,,"Jun 20, 26 5:07:56 AM"
https://swgoh.gg/p/955978779/gac-history/O1781643600000/2/,5v5,characters,Boss Nass,BOSSNASS,"['BOSSNASS', 'JARJARBINKS', 'CAPTAINTARPALS', 'BOOMADIER', 'GUNGANPHALANX']",5,65,1,Win,,"Jun 20, 26 5:10:40 AM"
https://swgoh.gg/p/955978779/gac-history/O1781643600000/2/,5v5,characters,Darth Malgus,DARTHMALGUS,"['DARTHMALGUS', 'DARTHMALAK', 'DARTHREVAN', 'BASTILASHANDARK', 'SITHMARAUDER']",5,54,1,Win,,"Jun 20, 26 5:18:54 AM"
https://swgoh.gg/p/955978779/gac-history/O1781643600000/2/,5v5,ships,Executor,CAPITALEXECUTOR,"['CAPITALEXECUTOR', 'RAZORCREST', 'HOUNDSTOOTH', 'PUNISHINGONE', 'SLAVE1', 'IG2000', 'XANADUBLOOD']",7,73,1,Win,,"Jun 20, 26 5:25:42 AM"
https://swgoh.gg/p/955978779/gac-history/O1781643600000/2/,5v5,ships,Chimaera,CAPITALCHIMAERA,"['CAPITALCHIMAERA', 'TIEADVANCED', 'EMPERORSSHUTTLE', 'TIEBOMBERIMPERIAL', 'SCYTHE', 'TIEINTERCEPTOR', 'TIEDEFENDER', 'TIEREAPER']",8,67,1,Win,,"Jun 20, 26 5:27:51 AM"
https://swgoh.gg/p/955978779/gac-history/O1781643600000/3/,5v5,characters,Jedi Master Mace Windu,JEDIMASTERMACEWINDU,"['JEDIMASTERMACEWINDU', 'DEPABILLABA', 'VANGUARDTEMPLEGUARD', 'LUMINARAUNDULI', 'JOCASTANU']",5,65,1,Win,,"Jun 22, 26 5:38:25 PM"
