combat_type,defense_leader,season_id,counter_leader,counter_units,defense_units,seen,win_percent,avg_banners,raw_text,source_url,skipped_duplicate_team_count
characters,GLHONDO,CHAMPIONSHIPS_GRAND_ARENA_GA2_EVENT_SEASON_79,SUPREMELEADERKYLOREN,"['SUPREMELEADERKYLOREN', 'DARKREY', 'GENERALHUX']","['GLHONDO', 'QUIGGOLD', 'VANE']",7400,77.0,41.77,"Seen 7,400 Win % 77% Avg 41.77",https://swgoh.gg/gac/counters/GLHONDO/?season_id=CHAMPIONSHIPS_GRAND_ARENA_GA2_EVENT_SEASON_79,2
characters,GLHONDO,CHAMPIONSHIPS_GRAND_ARENA_GA2_EVENT_SEASON_79,SUPREMELEADERKYLOREN,"['SUPREMELEADERKYLOREN', 'DARKREY', 'GENERALHUX']","['GLHONDO', 'BRUTUS', 'VANE']",2178,76.0,41.78,"Seen 2,178 Win % 76% Avg 41.78",https://swgoh.gg/gac/counters/GLHONDO/?season_id=CHAMPIONSHIPS_GRAND_ARENA_GA2_EVENT_SEASON_79,2
characters,GLHONDO,CHAMPIONSHIPS_GRAND_ARENA_GA2_EVENT_SEASON_79,GLHONDO,"['GLHONDO', 'CAPTAINSILVO', 'VANE']","['GLHONDO', 'CAPTAINSILVO', 'VANE']",268,76.0,43.29,Seen 268 Win % 76% Avg 43.29,https://swgoh.gg/gac/counters/GLHONDO/?season_id=CHAMPIONSHIPS_GRAND_ARENA_GA2_EVENT_SEASON_79,2
characters,GLHONDO,CHAMPIONSHIPS_GRAND_ARENA_GA2_EVENT_SEASON_79,JEDIMASTERKENOBI,"['JEDIMASTERKENOBI', 'COMMANDERAHSOKA', 'TARONMALICOS']","['GLHONDO', 'QUIGGOLD', 'VANE']",285,72.0,39.62,Seen 285 Win % 72% Avg 39.62,https://swgoh.gg/gac/counters/GLHONDO/?season_id=CHAMPIONSHIPS_GRAND_ARENA_GA2_EVENT_SEASON_79,2
characters,GLHONDO,CHAMPIONSHIPS_GRAND_ARENA_GA2_EVENT_SEASON_79,STRANGER,"['STRANGER', 'MAULHATEFUELED', 'STARKILLER']","['GLHONDO', 'HONDO', 'VANE']",1548,70.0,39.3,"Seen 1,548 Win % 70% Avg 39.3",https://swgoh.gg/gac/counters/GLHONDO/?season_id=CHAMPIONSHIPS_GRAND_ARENA_GA2_EVENT_SEASON_79,2
characters,GLHONDO,CHAMPIONSHIPS_GRAND_ARENA_GA2_EVENT_SEASON_79,JEDIMASTERKENOBI,"['JEDIMASTERKENOBI', 'COMMANDERAHSOKA', 'GENERALKENOBI']","['GLHONDO', 'SM33', 'VANE']",438,66.0,38.19,Seen 438 Win % 66% Avg 38.19,https://swgoh.gg/gac/counters/GLHONDO/?season_id=CHAMPIONSHIPS_GRAND_ARENA_GA2_EVENT_SEASON_79,2
characters,GLHONDO,CHAMPIONSHIPS_GRAND_ARENA_GA2_EVENT_SEASON_79,SUPREMELEADERKYLOREN,"['SUPREMELEADERKYLOREN', 'DARKREY', 'GENERALHUX']","['GLHONDO', 'SM33', 'VANE']",3269,65.0,35.76,"Seen 3,269 Win % 65% Avg 35.76",https://swgoh.gg/gac/counters/GLHONDO/?season_id=CHAMPIONSHIPS_GRAND_ARENA_GA2_EVENT_SEASON_79,2
characters,GLHONDO,CHAMPIONSHIPS_GRAND_ARENA_GA2_EVENT_SEASON_79,JEDIMASTERKENOBI,"['JEDIMASTERKENOBI', 'COMMANDERAHSOKA', 'WATTAMBOR']","['GLHONDO', 'QUIGGOLD', 'VANE']",5298,63.0,34.48,"Seen 5,298 Win % 63% Avg 34.48",https://swgoh.gg/gac/counters/GLHONDO/?season_id=CHAMPIONSHIPS_GRAND_ARENA_GA2_EVENT_SEASON_79,2
characters,GLHONDO,CHAMPIONSHIPS_GRAND_ARENA_GA2_EVENT_SEASON_79,SUPREMELEADERKYLOREN,"['SUPREMELEADERKYLOREN', 'DARKREY', 'KYLORENUNMASKED']","['GLHONDO', 'CAPTAINSILVO', 'VANE']",6692,60.0,33.01,"Seen 6,692 Win % 60% Avg 33.01",https://swgoh.gg/gac/counters/GLHONDO/?season_id=CHAMPIONSHIPS_GRAND_ARENA_GA2_EVENT_SEASON_79,2
characters,GLHONDO,CHAMPIONSHIPS_GRAND_ARENA_GA2_EVENT_SEASON_79,GLLEIA,"['GLLEIA', 'CAPTAINDROGAN', 'R2D2_LEGENDARY']","['GLHONDO', 'BRUTUS', 'VANE']",318,58.0,33.1,Seen 318 Win % 58% Avg 33.1,https://swgoh.gg/gac/counters/GLHONDO/?season_id=CHAMPIONSHIPS_GRAND_ARENA_GA2_EVENT_SEASON_79,2
characters,GLHONDO,CHAMPIONSHIPS_GRAND_ARENA_GA2_EVENT_SEASON_79,SUPREMELEADERKYLOREN,"['SUPREMELEADERKYLOREN', 'DARKREY', 'KYLORENUNMASKED']","['GLHONDO', 'QUIGGOLD', 'VANE']",1332,56.0,30.74,"Seen 1,332 Win % 56% Avg 30.74",https://swgoh.gg/gac/counters/GLHONDO/?season_id=CHAMPIONSHIPS_GRAND_ARENA_GA2_EVENT_SEASON_79,2
characters,GLHONDO,CHAMPIONSHIPS_GRAND_ARENA_GA2_EVENT_SEASON_79,CEREJUNDA,"['CEREJUNDA', 'MAULS7', 'TARONMALICOS']","['GLHONDO', 'CAPTAINSILVO', 'VANE']",857,53.0,29.59,Seen 857 Win % 53% Avg 29.59,https://swgoh.gg/gac/counters/GLHONDO/?season_id=CHAMPIONSHIPS_GRAND_ARENA_GA2_EVENT_SEASON_79,2
characters,GLHONDO,CHAMPIONSHIPS_GRAND_ARENA_GA2_EVENT_SEASON_79,SUPREMELEADERKYLOREN,"['SUPREMELEADERKYLOREN', 'DARKREY', 'KYLORENUNMASKED']","['GLHONDO', 'BRUTUS', 'VANE']",2022,52.0,28.71,"Seen 2,022 Win % 52% Avg 28.71",https://swgoh.gg/gac/counters/GLHONDO/?season_id=CHAMPIONSHIPS_GRAND_ARENA_GA2_EVENT_SEASON_79,2
characters,GLHONDO,CHAMPIONSHIPS_GRAND_ARENA_GA2_EVENT_SEASON_79,GLLEIA,"['GLLEIA', 'CAPTAINDROGAN', 'R2D2_LEGENDARY']","['GLHONDO', 'CAPTAINSILVO', 'VANE']",847,52.0,29.53,Seen 847 Win % 52% Avg 29.53,https://swgoh.gg/gac/counters/GLHONDO/?season_id=CHAMPIONSHIPS_GRAND_ARENA_GA2_EVENT_SEASON_79,2
characters,GLHONDO,CHAMPIONSHIPS_GRAND_ARENA_GA2_EVENT_SEASON_79,JEDIMASTERKENOBI,"['JEDIMASTERKENOBI', 'COMMANDERAHSOKA', 'GENERALKENOBI']","['GLHONDO', 'BRUTUS', 'VANE']",276,50.0,28.76,Seen 276 Win % 50% Avg 28.76,https://swgoh.gg/gac/counters/GLHONDO/?season_id=CHAMPIONSHIPS_GRAND_ARENA_GA2_EVENT_SEASON_79,2
characters,GLHONDO,CHAMPIONSHIPS_GRAND_ARENA_GA2_EVENT_SEASON_79,GLLEIA,"['GLLEIA', 'CAPTAINDROGAN', 'R2D2_LEGENDARY']","['GLHONDO', 'SM33', 'VANE']",314,49.0,27.78,Seen 314 Win % 49% Avg 27.78,https://swgoh.gg/gac/counters/GLHONDO/?season_id=CHAMPIONSHIPS_GRAND_ARENA_GA2_EVENT_SEASON_79,2
characters,GLHONDO,CHAMPIONSHIPS_GRAND_ARENA_GA2_EVENT_SEASON_79,SUPREMELEADERKYLOREN,"['SUPREMELEADERKYLOREN', 'DARKREY', 'KYLORENUNMASKED']","['GLHONDO', 'HONDO', 'VANE']",3521,48.0,26.34,"Seen 3,521 Win % 48% Avg 26.34",https://swgoh.gg/gac/counters/GLHONDO/?season_id=CHAMPIONSHIPS_GRAND_ARENA_GA2_EVENT_SEASON_79,2
characters,GLHONDO,CHAMPIONSHIPS_GRAND_ARENA_GA2_EVENT_SEASON_79,SUPREMELEADERKYLOREN,"['SUPREMELEADERKYLOREN', 'DARKREY', 'FOSITHTROOPER']","['GLHONDO', 'CAPTAINSILVO', 'VANE']",254,48.0,26.6,Seen 254 Win % 48% Avg 26.6,https://swgoh.gg/gac/counters/GLHONDO/?season_id=CHAMPIONSHIPS_GRAND_ARENA_GA2_EVENT_SEASON_79,2
characters,GLHONDO,CHAMPIONSHIPS_GRAND_ARENA_GA2_EVENT_SEASON_79,CEREJUNDA,"['CEREJUNDA', 'MAULS7', 'TARONMALICOS']","['GLHONDO', 'SM33', 'VANE']",262,46.0,25.66,Seen 262 Win % 46% Avg 25.66,https://swgoh.gg/gac/counters/GLHONDO/?season_id=CHAMPIONSHIPS_GRAND_ARENA_GA2_EVENT_SEASON_79,2
characters,GLHONDO,CHAMPIONSHIPS_GRAND_ARENA_GA2_EVENT_SEASON_79,GLLEIA,"['GLLEIA', 'CAPTAINDROGAN', 'R2D2_LEGENDARY']","['GLHONDO', 'HONDO', 'VANE']",393,45.0,25.81,Seen 393 Win % 45% Avg 25.81,https://swgoh.gg/gac/counters/GLHONDO/?season_id=CHAMPIONSHIPS_GRAND_ARENA_GA2_EVENT_SEASON_79,2
characters,GLHONDO,CHAMPIONSHIPS_GRAND_ARENA_GA2_EVENT_SEASON_79,SUPREMELEADERKYLOREN,"['SUPREMELEADERKYLOREN', 'DARKREY', 'KYLORENUNMASKED']","['GLHONDO', 'SM33', 'VANE']",2476,40.0,22.23,"Seen 2,476 Win % 40% Avg 22.23",https://swgoh.gg/gac/counters/GLHONDO/?season_id=CHAMPIONSHIPS_GRAND_ARENA_GA2_EVENT_SEASON_79,2
characters,GLHONDO,CHAMPIONSHIPS_GRAND_ARENA_GA2_EVENT_SEASON_79,BAYLANSKOLL,"['BAYLANSKOLL', 'MARROK', 'SHINHATI']","['GLHONDO', 'CAPTAINSILVO', 'VANE']",506,35.0,20.37,Seen 506 Win % 35% Avg 20.37,https://swgoh.gg/gac/counters/GLHONDO/?season_id=CHAMPIONSHIPS_GRAND_ARENA_GA2_EVENT_SEASON_79,2
characters,GLHONDO,CHAMPIONSHIPS_GRAND_ARENA_GA2_EVENT_SEASON_79,JEDIMASTERKENOBI,"['JEDIMASTERKENOBI', 'COMMANDERAHSOKA', 'WATTAMBOR']","['GLHONDO', 'HONDO', 'VANE']",7944,33.0,18.5,"Seen 7,944 Win % 33% Avg 18.5",https://swgoh.gg/gac/counters/GLHONDO/?season_id=CHAMPIONSHIPS_GRAND_ARENA_GA2_EVENT_SEASON_79,2
characters,GLHONDO,CHAMPIONSHIPS_GRAND_ARENA_GA2_EVENT_SEASON_79,CEREJUNDA,"['CEREJUNDA', 'MAULS7', 'TARONMALICOS']","['GLHONDO', 'HONDO', 'VANE']",336,31.0,17.78,Seen 336 Win % 31% Avg 17.78,https://swgoh.gg/gac/counters/GLHONDO/?season_id=CHAMPIONSHIPS_GRAND_ARENA_GA2_EVENT_SEASON_79,2
characters,GLHONDO,CHAMPIONSHIPS_GRAND_ARENA_GA2_EVENT_SEASON_79,JEDIMASTERKENOBI,"['JEDIMASTERKENOBI', 'COMMANDERAHSOKA', 'GENERALKENOBI']","['GLHONDO', 'HONDO', 'VANE']",395,29.0,17.07,Seen 395 Win % 29% Avg 17.07,https://swgoh.gg/gac/counters/GLHONDO/?season_id=CHAMPIONSHIPS_GRAND_ARENA_GA2_EVENT_SEASON_79,2
characters,GLHONDO,CHAMPIONSHIPS_GRAND_ARENA_GA2_EVENT_SEASON_79,JABBATHEHUTT,"['JABBATHEHUTT', 'BOUSHH', 'KRRSANTAN']","['GLHONDO', 'CAPTAINSILVO', 'VANE']",302,23.0,13.74,Seen 302 Win % 23% Avg 13.74,https://swgoh.gg/gac/counters/GLHONDO/?season_id=CHAMPIONSHIPS_GRAND_ARENA_GA2_EVENT_SEASON_79,2
characters,GLHONDO,CHAMPIONSHIPS_GRAND_ARENA_GA2_EVENT_SEASON_79,JEDIMASTERKENOBI,"['JEDIMASTERKENOBI', 'COMMANDERAHSOKA', 'GENERALKENOBI']","['GLHONDO', 'CAPTAINSILVO', 'VANE']",786,23.0,13.49,Seen 786 Win % 23% Avg 13.49,https://swgoh.gg/gac/counters/GLHONDO/?season_id=CHAMPIONSHIPS_GRAND_ARENA_GA2_EVENT_SEASON_79,2
characters,BAYLANSKOLL,CHAMPIONSHIPS_GRAND_ARENA_GA2_EVENT_SEASON_79,SUPREMELEADERKYLOREN,"['SUPREMELEADERKYLOREN', 'DARKREY', 'GENERALHUX']","['BAYLANSKOLL', 'HONDO', 'SHINHATI']",608,100.0,56.97,Seen 608 Win % 100% Avg 56.97,https://swgoh.gg/gac/counters/BAYLANSKOLL/?season_id=CHAMPIONSHIPS_GRAND_ARENA_GA2_EVENT_SEASON_79,5
characters,BAYLANSKOLL,CHAMPIONSHIPS_GRAND_ARENA_GA2_EVENT_SEASON_79,SUPREMELEADERKYLOREN,"['SUPREMELEADERKYLOREN', 'DARKREY', 'GENERALHUX']","['BAYLANSKOLL', 'MARROK', 'SHINHATI']",8534,99.0,56.7,"Seen 8,534 Win % 99% Avg 56.7",https://swgoh.gg/gac/counters/BAYLANSKOLL/?season_id=CHAMPIONSHIPS_GRAND_ARENA_GA2_EVENT_SEASON_79,5
characters,BAYLANSKOLL,CHAMPIONSHIPS_GRAND_ARENA_GA2_EVENT_SEASON_79,SUPREMELEADERKYLOREN,"['SUPREMELEADERKYLOREN', 'DARKREY', 'FIRSTORDERTROOPER']","['BAYLANSKOLL', 'MARROK', 'SHINHATI']",172,99.0,56.54,Seen 172 Win % 99% Avg 56.54,https://swgoh.gg/gac/counters/BAYLANSKOLL/?season_id=CHAMPIONSHIPS_GRAND_ARENA_GA2_EVENT_SEASON_79,5
characters,BAYLANSKOLL,CHAMPIONSHIPS_GRAND_ARENA_GA2_EVENT_SEASON_79,SUPREMELEADERKYLOREN,"['SUPREMELEADERKYLOREN', 'DARKREY', 'KYLORENUNMASKED']","['BAYLANSKOLL', 'HONDO', 'SHINHATI']",232,99.0,56.36,Seen 232 Win % 99% Avg 56.36,https://swgoh.gg/gac/counters/BAYLANSKOLL/?season_id=CHAMPIONSHIPS_GRAND_ARENA_GA2_EVENT_SEASON_79,5
characters,BAYLANSKOLL,CHAMPIONSHIPS_GRAND_ARENA_GA2_EVENT_SEASON_79,SUPREMELEADERKYLOREN,"['SUPREMELEADERKYLOREN', 'DARKREY']","['BAYLANSKOLL', 'MARROK', 'SHINHATI']",897,98.0,57.33,Seen 897 Win % 98% Avg 57.33,https://swgoh.gg/gac/counters/BAYLANSKOLL/?season_id=CHAMPIONSHIPS_GRAND_ARENA_GA2_EVENT_SEASON_79,5
characters,BAYLANSKOLL,CHAMPIONSHIPS_GRAND_ARENA_GA2_EVENT_SEASON_79,SUPREMELEADERKYLOREN,"['SUPREMELEADERKYLOREN', 'DARKREY', 'KYLORENUNMASKED']","['BAYLANSKOLL', 'MARROK', 'SHINHATI']",6739,98.0,56.17,"Seen 6,739 Win % 98% Avg 56.17",https://swgoh.gg/gac/counters/BAYLANSKOLL/?season_id=CHAMPIONSHIPS_GRAND_ARENA_GA2_EVENT_SEASON_79,5
characters,BAYLANSKOLL,CHAMPIONSHIPS_GRAND_ARENA_GA2_EVENT_SEASON_79,SUPREMELEADERKYLOREN,"['SUPREMELEADERKYLOREN', 'DARKREY', 'FOSITHTROOPER']","['BAYLANSKOLL', 'MARROK', 'SHINHATI']",595,98.0,56.04,Seen 595 Win % 98% Avg 56.04,https://swgoh.gg/gac/counters/BAYLANSKOLL/?season_id=CHAMPIONSHIPS_GRAND_ARENA_GA2_EVENT_SEASON_79,5
characters,BAYLANSKOLL,CHAMPIONSHIPS_GRAND_ARENA_GA2_EVENT_SEASON_79,GLAHSOKATANO,"['GLAHSOKATANO', 'EZRAEXILE', 'HUYANG']","['BAYLANSKOLL', 'MARROK', 'SHINHATI']",1067,98.0,55.7,"Seen 1,067 Win % 98% Avg 55.7",https://swgoh.gg/gac/counters/BAYLANSKOLL/?season_id=CHAMPIONSHIPS_GRAND_ARENA_GA2_EVENT_SEASON_79,5
characters,BAYLANSKOLL,CHAMPIONSHIPS_GRAND_ARENA_GA2_EVENT_SEASON_79,GLAHSOKATANO,"['GLAHSOKATANO', 'EZRAEXILE', 'PADAWANSABINE']","['BAYLANSKOLL', 'MARROK', 'SHINHATI']",803,98.0,55.14,Seen 803 Win % 98% Avg 55.14,https://swgoh.gg/gac/counters/BAYLANSKOLL/?season_id=CHAMPIONSHIPS_GRAND_ARENA_GA2_EVENT_SEASON_79,5
characters,BAYLANSKOLL,CHAMPIONSHIPS_GRAND_ARENA_GA2_EVENT_SEASON_79,SITHPALPATINE,"['SITHPALPATINE', 'DARTHBANE']","['BAYLANSKOLL', 'MARROK', 'SHINHATI']",2632,96.0,56.11,"Seen 2,632 Win % 96% Avg 56.11",https://swgoh.gg/gac/counters/BAYLANSKOLL/?season_id=CHAMPIONSHIPS_GRAND_ARENA_GA2_EVENT_SEASON_79,5
characters,BAYLANSKOLL,CHAMPIONSHIPS_GRAND_ARENA_GA2_EVENT_SEASON_79,STRANGER,"['STRANGER', 'MAULHATEFUELED', 'STARKILLER']","['BAYLANSKOLL', 'MARROK', 'SHINHATI']",2800,95.0,52.04,"Seen 2,800 Win % 95% Avg 52.04",https://swgoh.gg/gac/counters/BAYLANSKOLL/?season_id=CHAMPIONSHIPS_GRAND_ARENA_GA2_EVENT_SEASON_79,5
characters,BAYLANSKOLL,CHAMPIONSHIPS_GRAND_ARENA_GA2_EVENT_SEASON_79,SUPREMELEADERKYLOREN,"['SUPREMELEADERKYLOREN', 'GENERALHUX', 'KYLORENUNMASKED']","['BAYLANSKOLL', 'MARROK', 'SHINHATI']",230,92.0,49.95,Seen 230 Win % 92% Avg 49.95,https://swgoh.gg/gac/counters/BAYLANSKOLL/?season_id=CHAMPIONSHIPS_GRAND_ARENA_GA2_EVENT_SEASON_79,5
characters,BAYLANSKOLL,CHAMPIONSHIPS_GRAND_ARENA_GA2_EVENT_SEASON_79,LORDVADER,"['LORDVADER', 'APPO', 'OPERATIVE']","['BAYLANSKOLL', 'HONDO', 'SHINHATI']",265,92.0,49.34,Seen 265 Win % 92% Avg 49.34,https://swgoh.gg/gac/counters/BAYLANSKOLL/?season_id=CHAMPIONSHIPS_GRAND_ARENA_GA2_EVENT_SEASON_79,5
characters,BAYLANSKOLL,CHAMPIONSHIPS_GRAND_ARENA_GA2_EVENT_SEASON_79,STRANGER,"['STRANGER', 'MAULS7', 'STARKILLER']","['BAYLANSKOLL', 'MARROK', 'SHINHATI']",678,90.0,49.59,Seen 678 Win % 90% Avg 49.59,https://swgoh.gg/gac/counters/BAYLANSKOLL/?season_id=CHAMPIONSHIPS_GRAND_ARENA_GA2_EVENT_SEASON_79,5
characters,BAYLANSKOLL,CHAMPIONSHIPS_GRAND_ARENA_GA2_EVENT_SEASON_79,LORDVADER,"['LORDVADER', 'APPO', 'OPERATIVE']","['BAYLANSKOLL', 'MARROK', 'SHINHATI']",2949,88.0,47.02,"Seen 2,949 Win % 88% Avg 47.02",https://swgoh.gg/gac/counters/BAYLANSKOLL/?season_id=CHAMPIONSHIPS_GRAND_ARENA_GA2_EVENT_SEASON_79,5
characters,BAYLANSKOLL,CHAMPIONSHIPS_GRAND_ARENA_GA2_EVENT_SEASON_79,BAYLANSKOLL,"['BAYLANSKOLL', 'MARROK', 'SHINHATI']","['BAYLANSKOLL', 'MARROK', 'SHINHATI']",3971,88.0,49.89,"Seen 3,971 Win % 88% Avg 49.89",https://swgoh.gg/gac/counters/BAYLANSKOLL/?season_id=CHAMPIONSHIPS_GRAND_ARENA_GA2_EVENT_SEASON_79,5
characters,BAYLANSKOLL,CHAMPIONSHIPS_GRAND_ARENA_GA2_EVENT_SEASON_79,MANDALORBOKATAN,"['MANDALORBOKATAN', 'IG12', 'THEMANDALORIANBESKARARMOR']","['BAYLANSKOLL', 'HONDO', 'SHINHATI']",1743,86.0,46.76,"Seen 1,743 Win % 86% Avg 46.76",https://swgoh.gg/gac/counters/BAYLANSKOLL/?season_id=CHAMPIONSHIPS_GRAND_ARENA_GA2_EVENT_SEASON_79,5
characters,BAYLANSKOLL,CHAMPIONSHIPS_GRAND_ARENA_GA2_EVENT_SEASON_79,SATELESHAN,"['SATELESHAN', 'JEDIKNIGHTREVAN', 'JOLEEBINDO']","['BAYLANSKOLL', 'MARROK', 'SHINHATI']",3253,86.0,48.79,"Seen 3,253 Win % 86% Avg 48.79",https://swgoh.gg/gac/counters/BAYLANSKOLL/?season_id=CHAMPIONSHIPS_GRAND_ARENA_GA2_EVENT_SEASON_79,5
characters,BAYLANSKOLL,CHAMPIONSHIPS_GRAND_ARENA_GA2_EVENT_SEASON_79,JABBATHEHUTT,"['JABBATHEHUTT', 'BOUSHH', 'KRRSANTAN']","['BAYLANSKOLL', 'MARROK', 'SHINHATI']",13,82.0,46.98,Seen 13K Win % 82% Avg 46.98,https://swgoh.gg/gac/counters/BAYLANSKOLL/?season_id=CHAMPIONSHIPS_GRAND_ARENA_GA2_EVENT_SEASON_79,5
characters,BAYLANSKOLL,CHAMPIONSHIPS_GRAND_ARENA_GA2_EVENT_SEASON_79,SATELESHAN,"['SATELESHAN', 'BASTILASHAN', 'JEDIKNIGHTREVAN']","['BAYLANSKOLL', 'MARROK', 'SHINHATI']",4488,80.0,45.58,"Seen 4,488 Win % 80% Avg 45.58",https://swgoh.gg/gac/counters/BAYLANSKOLL/?season_id=CHAMPIONSHIPS_GRAND_ARENA_GA2_EVENT_SEASON_79,5
characters,BAYLANSKOLL,CHAMPIONSHIPS_GRAND_ARENA_GA2_EVENT_SEASON_79,DARTHBANE,"['DARTHBANE', 'COUNTDOOKU']","['BAYLANSKOLL', 'MARROK', 'SHINHATI']",1200,71.0,39.52,"Seen 1,200 Win % 71% Avg 39.52",https://swgoh.gg/gac/counters/BAYLANSKOLL/?season_id=CHAMPIONSHIPS_GRAND_ARENA_GA2_EVENT_SEASON_79,5
characters,BAYLANSKOLL,CHAMPIONSHIPS_GRAND_ARENA_GA2_EVENT_SEASON_79,CEREJUNDA,"['CEREJUNDA', 'MAULS7', 'TARONMALICOS']","['BAYLANSKOLL', 'MARROK', 'SHINHATI']",1636,69.0,38.36,"Seen 1,636 Win % 69% Avg 38.36",https://swgoh.gg/gac/counters/BAYLANSKOLL/?season_id=CHAMPIONSHIPS_GRAND_ARENA_GA2_EVENT_SEASON_79,5
characters,BAYLANSKOLL,CHAMPIONSHIPS_GRAND_ARENA_GA2_EVENT_SEASON_79,SITHPALPATINE,"['SITHPALPATINE', 'DARTHMALAK', 'WATTAMBOR']","['BAYLANSKOLL', 'MARROK', 'SHINHATI']",310,69.0,36.28,Seen 310 Win % 69% Avg 36.28,https://swgoh.gg/gac/counters/BAYLANSKOLL/?season_id=CHAMPIONSHIPS_GRAND_ARENA_GA2_EVENT_SEASON_79,5
