combat_type,gac_format,leader,team_units,unit_count,times_seen,total_counter_seen,avg_counter_win_percent,source_notes
characters,5v5,GLAHSOKATANO,"['GLAHSOKATANO', 'EZRAEXILE', 'GENERALSYNDULLA', 'HUYANG', 'PADAWANSABINE']",5,31,16968.0,63.036,"counter_results.csv, defense_teams.csv"
characters,5v5,AURRA_SING,"['AURRA_SING', 'BOSSK', 'GREEFKARGA', 'THEMANDALORIAN', 'ZAMWESELL']",5,30,85.0,100.0,counter_results.csv
characters,5v5,GRIEVOUS,"['GRIEVOUS', 'B1BATTLEDROIDV2', 'B2SUPERBATTLEDROID', 'DROIDEKA', 'MAGNAGUARD']",5,29,5073.0,96.591,"counter_results.csv, defense_teams.csv"
characters,5v5,OMEGAS3,"['OMEGAS3', 'CROSSHAIRS3', 'WRECKERS3']",3,24,3221.0,99.583,counter_results.csv
characters,5v5,GRANDINQUISITOR,"['GRANDINQUISITOR', 'EIGHTHBROTHER', 'FIFTHBROTHER', 'NINTHSISTER', 'SEVENTHSISTER']",5,24,1165.0,97.208,counter_results.csv
characters,5v5,VEERS,"['VEERS', 'ADMIRALPIETT', 'COLONELSTARCK', 'GRANDMOFFTARKIN', 'TIEFIGHTERPILOT']",5,23,69.0,100.0,counter_results.csv
characters,5v5,DARTHREVAN,"['DARTHREVAN', 'GENERALSKYWALKER', 'MAULHATEFUELED', 'REYJEDITRAINING', 'STARKILLER']",5,23,46.0,100.0,counter_results.csv
characters,5v5,DARTHREVAN,"['DARTHREVAN', 'HK47', 'MISSIONVAO', 'SITHTROOPER', 'ZAALBAR']",5,23,23.0,100.0,counter_results.csv
characters,5v5,STRANGER,"['STRANGER', 'MAULHATEFUELED', 'STARKILLER']",3,22,28491.0,48.364,counter_results.csv
ships,5v5,CAPITALCHIMAERA,"['CAPITALCHIMAERA', 'EMPERORSSHUTTLE', 'SCYTHE', 'TIEADVANCED', 'TIEBOMBERIMPERIAL', 'TIEDEFENDER', 'TIEFIGHTERIMPERIAL', 'TIEINTERCEPTOR']",8,22,939.0,90.773,counter_results.csv
characters,5v5,TRENCH,"['TRENCH', 'COUNTDOOKU', 'JANGOFETT', 'NUTEGUNRAY', 'WATTAMBOR']",5,21,2611.0,98.952,counter_results.csv
characters,5v5,DARTHREVAN,"['DARTHREVAN', 'BASTILASHANDARK', 'DARTHMALAK', 'DARTHMALGUS', 'SITHMARAUDER']",5,20,163.0,100.0,counter_results.csv
ships,5v5,CAPITALLEVIATHAN,"['CAPITALLEVIATHAN', 'FURYCLASSINTERCEPTOR', 'SITHBOMBER', 'SITHFIGHTER', 'SITHINFILTRATOR', 'SITHSUPREMACYCLASS', 'TIEDAGGER']",7,19,9680.0,89.933,"counter_results.csv, defense_teams.csv"
characters,5v5,HERASYNDULLAS3,"['HERASYNDULLAS3', 'CAPTAINREX', 'CHOPPERS3', 'KANANJARRUSS3', 'SABINEWRENS3']",5,18,1656.0,97.222,"counter_results.csv, defense_teams.csv"
characters,5v5,GREATMOTHERS,"['GREATMOTHERS', 'MERRIN', 'MORGANELSBETH']",3,17,6283.0,96.294,counter_results.csv
characters,5v5,JANGOFETT,"['JANGOFETT', '4LOM', 'ASAJJDARKDISCIPLE', 'GREEFKARGA', 'THEMANDALORIAN']",5,17,448.0,57.059,counter_results.csv
characters,5v5,GLREY,"['GLREY', '50RT', 'BENSOLO', 'CALKESTIS', 'GENERALKENOBI']",5,16,9938.0,76.75,"counter_results.csv, defense_teams.csv"
characters,5v5,GRANDMASTERLUKE,"['GRANDMASTERLUKE', 'GRANDMASTERYODA', 'HERMITYODA', 'JEDIKNIGHTCAL', 'JEDIKNIGHTLUKE']",5,16,1157.0,96.188,counter_results.csv
characters,5v5,BOSSK,"['BOSSK', 'BOBAFETT', 'ZAMWESELL']",3,16,456.0,100.0,counter_results.csv
ships,5v5,CAPITALNEGOTIATOR,"['CAPITALNEGOTIATOR', 'ARC170REX', 'BLADEOFDORIN', 'JEDISTARFIGHTERAHSOKATANO', 'JEDISTARFIGHTERANAKIN', 'MARAUDER', 'UMBARANSTARFIGHTER', 'YWINGCLONEWARS']",8,15,12271.0,97.667,counter_results.csv
characters,5v5,AURRA_SING,"['AURRA_SING', 'FENNECSHAND', 'GREEDO', 'IG88', 'ZAMWESELL']",5,15,20.0,100.0,counter_results.csv
ships,5v5,CAPITALJEDICRUISER,"['CAPITALJEDICRUISER', 'ARC170REX', 'BLADEOFDORIN', 'JEDISTARFIGHTERAHSOKATANO', 'JEDISTARFIGHTERANAKIN', 'MARAUDER', 'UMBARANSTARFIGHTER', 'YWINGCLONEWARS']",8,13,163.0,100.0,counter_results.csv
characters,5v5,AURRA_SING,"['AURRA_SING', 'BOBAFETT', 'CADBANE', 'DENGAR', 'ZAMWESELL']",5,10,25.0,100.0,counter_results.csv
characters,5v5,QUIGONJINN,"['QUIGONJINN', 'ANAKINKNIGHT', 'GRANDMASTERYODA', 'KELLERANBEQ', 'MACEWINDU']",5,9,654.0,100.0,counter_results.csv
characters,5v5,HOTHLEIA,"['HOTHLEIA', 'CHEWBACCALEGENDARY', 'COMMANDERLUKESKYWALKER', 'HANSOLO', 'PRINCESSLEIA']",5,9,9.0,100.0,counter_results.csv
characters,5v5,MONMOTHMA,"['MONMOTHMA', 'ADMINISTRATORLANDO', 'BIGGSDARKLIGHTER', 'KYLEKATARN', 'WEDGEANTILLES']",5,8,59.0,93.0,"counter_results.csv, defense_teams.csv"
characters,5v5,GRANDMOFFTARKIN,"['GRANDMOFFTARKIN', 'EMPERORPALPATINE', 'MARAJADE', 'ROYALGUARD', 'VADERDUELSEND']",5,8,24.0,100.0,counter_results.csv
characters,5v5,GLREY,"['GLREY', 'BENSOLO', 'EZRAEXILE']",3,7,6076.0,79.714,counter_results.csv
ships,5v5,CAPITALJEDICRUISER,"['CAPITALJEDICRUISER', 'ARC170CLONESERGEANT', 'ARC170REX', 'EBONHAWK', 'MARAUDER', 'UMBARANSTARFIGHTER']",6,7,92.0,100.0,counter_results.csv
characters,5v5,EMPERORPALPATINE,"['EMPERORPALPATINE', 'JUHANI', 'MARAJADE', 'STARKILLER', 'VADER']",5,7,0.0,,defense_teams.csv
characters,5v5,GLREY,"['GLREY', 'BENSOLO', 'EPIXFINN', 'EPIXPOE', 'REYJEDITRAINING']",5,7,0.0,,defense_teams.csv
characters,5v5,BOSSK,"['BOSSK', 'CADBANE', 'DENGAR', 'GREEDO', 'IG88']",5,7,0.0,,defense_teams.csv
characters,5v5,MONMOTHMA,"['MONMOTHMA', 'CARADUNE', 'KYLEKATARN', 'LUTHENRAEL', 'PAO']",5,6,506.0,77.167,counter_results.csv
characters,5v5,BASTILASHAN,"['BASTILASHAN', 'GRANDMASTERLUKE', 'HERMITYODA', 'JEDIKNIGHTCAL', 'JEDIKNIGHTLUKE']",5,6,12.0,100.0,"counter_results.csv, defense_teams.csv"
characters,5v5,GLAHSOKATANO,"['GLAHSOKATANO', 'EZRAEXILE', 'FULCRUMAHSOKA']",3,4,3878.0,91.5,counter_results.csv
characters,5v5,BOSSK,"['BOSSK', 'ASAJJDARKDISCIPLE', 'EMBO', 'JANGOFETT', 'ZAMWESELL']",5,3,12.0,100.0,counter_results.csv
characters,5v5,GRANDMOFFTARKIN,"['GRANDMOFFTARKIN', 'GRANDADMIRALTHRAWN', 'IMPERIALPROBEDROID', 'ROYALGUARD', 'SHORETROOPER']",5,3,9.0,100.0,counter_results.csv
ships,5v5,CAPITALLEVIATHAN,"['CAPITALLEVIATHAN', 'FURYCLASSINTERCEPTOR', 'SCYTHE', 'SITHBOMBER', 'SITHINFILTRATOR', 'TIEBOMBERIMPERIAL', 'TIEDAGGER', 'TIEDEFENDER']",8,2,186.0,70.0,counter_results.csv
characters,5v5,GLLEIA,"['GLLEIA', 'CAPTAINDROGAN', 'CAPTAINREX']",3,2,181.0,90.5,counter_results.csv
characters,5v5,JANGOFETT,"['JANGOFETT', 'BOBAFETT', 'BOUSHH', 'JABBATHEHUTT', 'KRRSANTAN']",5,2,17.0,100.0,counter_results.csv
characters,5v5,THIRDSISTER,"['THIRDSISTER', 'GRANDINQUISITOR', 'INQUISITORBARRISS', 'NINTHSISTER', 'SECONDSISTER']",5,1,215.0,80.0,counter_results.csv
characters,5v5,MONMOTHMA,"['MONMOTHMA', 'BAZEMALBUS', 'CHIRRUTIMWE', 'LUTHENRAEL', 'SAWGERRERA']",5,1,27.0,81.0,counter_results.csv
characters,5v5,JANGOFETT,"['JANGOFETT', 'ASAJJDARKDISCIPLE', 'BOBAFETTSCION', 'FENNECSHAND', 'ZAMWESELL']",5,1,8.0,100.0,counter_results.csv
characters,5v5,BASTILASHAN,"['BASTILASHAN', 'GRANDMASTERLUKE', 'JEDIKNIGHTREVAN', 'JOLEEBINDO', 'SATELESHAN']",5,1,3.0,100.0,counter_results.csv
characters,5v5,BASTILASHAN,"['BASTILASHAN', 'DASHRENDAR', 'MACEWINDU', 'PAZVIZSLA', 'T3_M4']",5,1,2.0,100.0,counter_results.csv
ships,5v5,CAPITALMONCALAMARICRUISER,"['CAPITALMONCALAMARICRUISER', 'BWINGREBEL', 'GHOST', 'MILLENNIUMFALCON', 'OUTRIDER', 'PHANTOM2', 'RAVENSCLAW', 'YWINGREBEL']",8,1,0.0,,defense_teams.csv
ships,5v5,CAPITALNEGOTIATOR,"['CAPITALNEGOTIATOR', 'JEDISTARFIGHTERAHSOKATANO', 'JEDISTARFIGHTERANAKIN', 'MARAUDER', 'MILLENNIUMFALCON', 'MILLENNIUMFALCONEP7', 'TIEADVANCED', 'UMBARANSTARFIGHTER']",8,1,0.0,,defense_teams.csv
